x,Ai,Bi
-5,0.35076100902411431978801632769674222148473652874478,-0.13836913490160057685002917560262372343950698696864
-4,-0.07026553294928951509908431163180311641918410339403,0.39223470570699928955449182764684348324096730233826
-3,-0.37881429367765807434724391649967485050545129856127,-0.19828962637492654322064485457248835669474516500016
-2,0.22740742820168557599192443603787379946076401539182,-0.41230258795639848808323405461146104203451514587769
-1,0.53556088329235211879951656563887470746683423111314,0.10399738949694461188868999097859914463694446572343
0,0.35502805388781723926009394419428131243638551768862,0.61492662744600073515092236909361355359487040200204
1,0.13529241631288141552414742351546630617429391216231,1.2074235949528712594363788170282869953852426316303
2,0.034924130423274379135322080791807609763045821158674,3.2980949999782147102806044252234524220028159732968
3,0.0065911393574607191442574484079613510675859184558797,14.037328963730232031740267313779686909582012298756
4,0.00095156385120480187362149996890012875957019831645976,83.847071408468139922580490461046276240665839699813
5,0.00010834442813607441734986502503345985941603523158365,657.7920441711711824410805788744438786159210177116
6,9.9476943602528895702388476688287790474044729696847e-6,6536.4461048098634537583500246194564947645781936529
7,7.4921288639971670807710402721039099358265303870476e-7,80327.790709430247005391211398558933147168756911895
8,4.6922076160992316256490817034918257709814282723435e-8,1.1995860041244599308816544995984208999199989839973e6
9,2.4711684308724898432892411343390958291274984448341e-9,2.1472868891435349093368128811111364464437832068921e7
10,1.1047532552898685933550205657992651568720137010238e-10,4.5564115354822514099978730810649390237230268759657e8
11,4.2262758649603595912988354507798707035046610258927e-12,1.1355782530430476285136236234020649257722718933923e10
12,1.3931846888753608390490345036365686848476409494487e-13,3.2980722582907417618476811182361291156746700043672e11
13,3.9817760788333353630225468329607639412333611394815e-15,1.1086706719059404747129224185641978663128749093841e13
14,9.9202054911923772663173315310870588018118683085998e-17,4.2880536178653414953766835219030378015889776982313e14
15,2.164962520737992298989451000010923223663857425765e-18,1.8982099567493589684789526625799004770651641994075e16
16,4.1568888289170243947490621620172427783426739768825e-20,9.5721239060491865258438081149010029744960809672117e17
17,7.0501972983886145424378862942624309802706546441202e-22,5.475303811330586982407885577229826442904559419322e19
18,1.0600466825247955692603217166229551971660644172406e-23,3.5389182503565686699885529929745095177841273853182e21
19,1.4177043777933527857791900098152246096740202303361e-25,2.5755355522344585457431486705395827856452171502159e23
20,1.6916728686705412211695895411868694071510563038412e-27,2.1037650496511038144947890141952635148999521644752e25
